movie_title,movie_ratings,release_year,movie_duration
 Trainspotting,8.1 ,1996,1h 33m
 The Bridge on the River Kwai,8.1 ,1957,2h 41m
 Spider-Man: No Way Home,8.2 ,2021,2h 28m
 Fargo,8.1 ,1996,1h 38m
 Klaus,8.2 ,2019,1h 36m
 Warrior,8.1 ,2011,2h 20m
 Catch Me If You Can,8.1 ,2002,2h 21m
 Gojira -1,8.3 ,2023,2h 4m
 Gran Torino,8.1 ,2008,1h 56m
 Tonari no Totoro,8.1 ,1988,1h 26m
 Million Dollar Baby,8.1 ,2004,2h 12m
 Harry Potter and the Deathly Hallows - Part 2,8.1 ,2011,2h 10m
 Bacheha-Ye aseman,8.2 ,1997,1h 29m
 12 Years a Slave,8.1 ,2013,2h 14m
 Blade Runner,8.1 ,1982,1h 57m
 Before Sunrise,8.1 ,1995,1h 41m
 The Grand Budapest Hotel,8.1 ,2014,1h 39m
 Ben-Hur,8.1 ,1959,3h 32m
 Barry Lyndon,8.1 ,1975,3h 5m
 Gone Girl,8.1 ,2014,2h 29m
 Hacksaw Ridge,8.1 ,2016,2h 19m
 The Gold Rush,8.1 ,1925,1h 35m
 In the Name of the Father,8.1 ,1993,2h 13m
 Salinui chueok,8.1 ,2003,2h 11m
 Dead Poets Society,8.1 ,1989,2h 8m
 On the Waterfront,8.1 ,1954,1h 48m
 The General,8.1 ,1926,1h 18m
 The Deer Hunter,8.1 ,1978,3h 3m
 Relatos salvajes,8.1 ,2014,2h 2m
 Mad Max: Fury Road,8.1 ,2015,2h
 Sherlock Jr,8.2 ,1924,45m
" Monsters, Inc",8.1 ,2001,1h 32m
 The Third Man,8.1 ,1949,1h 44m
 Smultronstället,8.1 ,1957,1h 31m
 Le salaire de la peur,8.2 ,1953,2h 11m
 Jaws,8.1 ,1975,2h 4m
 How to Train Your Dragon,8.1 ,2010,1h 38m
 Mary and Max,8.1 ,2009,1h 32m
 Mr,8.1 ,1939,2h 9m
 Ford v Ferrari,8.1 ,2019,2h 32m
 Ratatouille,8.1 ,2007,1h 51m
 Det sjunde inseglet,8.1 ,1957,1h 36m
 Tôkyô monogatari,8.1 ,1953,2h 16m
 Room,8.1 ,2015,1h 58m
 The Big Lebowski,8.1 ,1998,1h 57m
 Rocky,8.1 ,1976,2h
 Logan,8.1 ,2017,2h 17m
 Spotlight,8.1 ,2015,2h 9m
 Hotel Rwanda,8.1 ,2004,2h 1m
 Poor Things,8.1 ,2023,2h 21m
 Platoon,8.1 ,1986,2h
 The Terminator,8.1 ,1984,1h 47m
 La passion de Jeanne d'Arc,8.1 ,1928,1h 50m
 Before Sunset,8.1 ,2004,1h 20m
 The Best Years of Our Lives,8.1 ,1946,2h 50m
 La haine,8.1 ,1995,1h 38m
 Jai Bhim,8.7 ,2021,2h 44m
 The Exorcist,8.1 ,1973,2h 2m
 Rush,8.1 ,2013,2h 3m
 Pirates of the Caribbean: The Curse of the Black Pearl,8.1 ,2003,2h 23m
 Network,8.1 ,1976,2h 1m
 Stand by Me,8.1 ,1986,1h 29m
 The Wizard of Oz,8.1 ,1939,1h 42m
 The Incredibles,8.0 ,2004,1h 55m
 Hachi: A Dog's Tale,8.1 ,2009,1h 33m
 Into the Wild,8.1 ,2007,2h 28m
 Babam ve Oglum,8.2 ,2005,1h 52m
 Ah-ga-ssi,8.1 ,2016,2h 25m
 To Be or Not to Be,8.1 ,1942,1h 39m
 The Sound of Music,8.1 ,1965,2h 52m
 The Grapes of Wrath,8.1 ,1940,2h 9m
 La battaglia di Algeri,8.1 ,1966,2h 1m
 Groundhog Day,8.0 ,1993,1h 41m
 Amores perros,8.1 ,2000,2h 34m
 Rebecca,8.1 ,1940,2h 10m
 Cool Hand Luke,8.1 ,1967,2h 7m
 The Iron Giant,8.1 ,1999,1h 26m
 The Help,8.1 ,2011,2h 26m
 It Happened One Night,8.1 ,1934,1h 45m
 Les quatre cents coups,8.1 ,1959,1h 39m
 Dances with Wolves,8.0 ,1990,3h 1m
